Tipo;Categoria / Grupo;Nome do Item / Sabor;Descrição;Preço (R$);Disponível;Grupos Vinculados;Foto URL
"ADICIONAL / SABOR";"[GRUPO] Adicionais";"Cebola na Chapa";"";"3,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737861159256blob"
"ADICIONAL / SABOR";"[GRUPO] Adicionais";"Cebola Crispy";"";"3,50";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737861248558blob"
"ADICIONAL / SABOR";"[GRUPO] Selecione o sabor";"Bacon e Queijo";"";"23,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1748755301932blob"
"ADICIONAL / SABOR";"[GRUPO] Selecione o sabor";"Brócolis com Bacon e Catupiry";"";"23,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1748755080631blob"
"ADICIONAL / SABOR";"[GRUPO] Selecione o sabor";"Brócolis com Queijo";"";"23,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1735965654605blob"
"ADICIONAL / SABOR";"[GRUPO] Selecione o sabor";"Calabresa com Queijo";"";"23,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1735965663854blob"
"ADICIONAL / SABOR";"[GRUPO] Selecione o sabor";"Calabresa com Queijo e Bacon";"";"23,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1735965670970blob"
"ADICIONAL / SABOR";"[GRUPO] Selecione o sabor";"Camarão Cremoso";"";"28,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737842539661blob"
"ADICIONAL / SABOR";"[GRUPO] Selecione o sabor";"Carne e ovo";"";"23,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737855225012blob"
"ADICIONAL / SABOR";"[GRUPO] Selecione o sabor";"Carne e Bacon";"";"23,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1735965701219blob"
"ADICIONAL / SABOR";"[GRUPO] Selecione o sabor";"Carne com Cheddar";"";"23,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737855424060blob"
"ADICIONAL / SABOR";"[GRUPO] Selecione o sabor";"Carne com Queijo";"";"23,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1735965641118blob"
"ADICIONAL / SABOR";"[GRUPO] Selecione o sabor";"Carne com Queijo e Bacon";"";"23,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1735965719301blob"
"ADICIONAL / SABOR";"[GRUPO] Selecione o sabor";"Carne, Ovo e Azeitona";"";"23,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1735965625622blob"
"ADICIONAL / SABOR";"[GRUPO] Selecione o sabor";"Frango Caipira";"";"23,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737860631004blob"
"ADICIONAL / SABOR";"[GRUPO] Selecione o sabor";"Frango com Catupiry";"";"23,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1736093852850blob"
"ADICIONAL / SABOR";"[GRUPO] Selecione o sabor";"Frango com Bacon e Queijo";"";"23,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1735965903672blob"
"ADICIONAL / SABOR";"[GRUPO] Selecione o sabor";"Frango com Queijo";"";"23,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1735965593503blob"
"ADICIONAL / SABOR";"[GRUPO] Selecione o sabor";"Napolitano";"";"23,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737855739772blob"
"ADICIONAL / SABOR";"[GRUPO] Selecione o sabor";"Pizza";"";"23,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1735965881700blob"
"ADICIONAL / SABOR";"[GRUPO] Selecione o sabor";"Presunto e Queijo";"";"23,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1735965568475blob"
"ADICIONAL / SABOR";"[GRUPO] Selecione o sabor";"Portuguesa";"";"23,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737855524310blob"
"ADICIONAL / SABOR";"[GRUPO] Selecione o sabor";"Queijo";"";"25,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1735965534861blob"
"ADICIONAL / SABOR";"[GRUPO] Selecione o sabor";"4 Queijos";"";"28,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737856069165blob"
"ADICIONAL / SABOR";"[GRUPO] Selecione o sabor";"Strogonoff de Frango";"";"28,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737855859701blob"
"ADICIONAL / SABOR";"[GRUPO] Selecione o sabor";"Strogonoff de Carne";"";"28,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737855966469blob"
